time,open,high,low,close,CME Gap,+1%,-1%,Plot,Plot,Plot,Plot,MACD,Signal Line,Histogram,Cross,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,24H Volume,Volume Delta (開盤價),Volume Delta (最高價,Volume Delta (最低價),Volume Delta (關閉)
1104762600,18.70610738,18.73298363,18.38358769,18.39433894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1104777000,18.39433894,18.49109457,18.15244987,18.17932612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1104849000,18.24920551,18.38358769,17.96968894,18.10407113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1104863400,18.09869644,18.14707425,17.91055987,17.97506362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1104935400,17.92668581,17.99118956,17.70092268,17.73855019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1104949800,17.73855019,17.79230268,17.60954268,17.61491737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105021800,17.63104331,17.79767831,17.60416706,17.76005081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105036200,17.76005081,17.76005081,17.58804113,17.58804113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105108200,17.57729081,17.59341675,17.36765268,17.44290769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105122600,17.44828237,17.44828237,17.26552237,17.26552237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105367400,17.26552237,17.53428769,17.21714361,17.48590987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105381800,17.48590987,17.52353737,17.37840394,17.46978394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105453800,17.44828237,17.44828237,17.22251924,17.27089706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105468200,17.27627268,17.4160305,17.27627268,17.35690237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105540200,17.35152675,17.35690237,17.06663549,17.0773858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.338968598295978,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105554600,17.0773858,17.20101768,16.98063018,17.06125987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.18109839230432,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105626600,17.12038799,17.27627268,17.12038799,17.2332705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.715399925088334,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105641000,17.23864518,17.26014675,17.20101768,17.22251924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.56899445474592,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105713000,17.30852455,17.33002612,16.95375393,16.96987987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.333099560001912,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1105727400,16.96987987,17.05050956,16.9107508,16.96987987,NaN,NaN,NaN,17.509023887999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.333099560001912,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106058600,16.95912861,17.3354008,16.94300268,17.27627268,NaN,NaN,NaN,17.48685710628571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.545656614083754,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106073000,17.28702299,17.56116488,17.27627268,17.55578924,NaN,NaN,NaN,17.49342207140136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.768889499841,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106145000,17.49666018,17.49666018,17.1687658,17.25477111,NaN,NaN,NaN,17.470693408410753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.32976314723838,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106159400,17.26552237,17.27627268,17.09351174,17.20101768,NaN,NaN,NaN,17.445010005704965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.4385922892639,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106231400,17.26014675,17.27089706,17.12576362,17.14726518,NaN,NaN,NaN,17.416653355637827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.52527770465221,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106245800,17.18489174,17.29239862,17.18489174,17.20639331,NaN,NaN,NaN,17.396628589386605,NaN,NaN,NaN,-0.19347651636566,NaN,NaN,NaN,37.38445632910496,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106317800,17.22789487,17.3354008,17.22789487,17.27627268,NaN,NaN,NaN,17.385166121825975,NaN,NaN,NaN,-0.1779437632276597,NaN,NaN,NaN,39.60112117786125,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106332200,17.26014675,17.28702299,17.20101768,17.22789487,NaN,NaN,NaN,17.370187907366358,NaN,NaN,NaN,-0.16760557665825715,NaN,NaN,NaN,38.5827800071723,31.617656947118295,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106577000,17.2816483,17.30852455,17.21714361,17.25477111,NaN,NaN,NaN,17.359195831426703,NaN,NaN,NaN,-0.15545184921318977,NaN,NaN,NaN,39.51335695961054,32.98725611578362,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106591400,17.24939643,17.26552237,17.20639331,17.20639331,NaN,NaN,NaN,17.344643210338447,NaN,NaN,NaN,-0.1480173647566474,NaN,NaN,NaN,38.385909631501754,34.28759977572629,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106663400,17.60416706,17.60416706,17.20101768,17.21176893,NaN,NaN,NaN,17.33198851697288,NaN,NaN,NaN,-0.1400769942592781,NaN,NaN,NaN,38.595571358226906,35.13618344952191,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106677800,17.21176893,17.2332705,17.19026736,17.22251924,NaN,NaN,NaN,17.32156287154689,NaN,NaN,NaN,-0.13140201265297335,NaN,NaN,NaN,39.042301022722135,36.02713391866307,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106749800,17.33002612,17.38915425,17.24402081,17.2816483,NaN,NaN,NaN,17.317761483780522,NaN,NaN,NaN,-0.11839106771751773,NaN,NaN,NaN,41.560645735260394,37.3291015026101,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106764200,17.2816483,17.42678174,17.2816483,17.34077643,NaN,NaN,NaN,17.319953383420472,NaN,NaN,NaN,-0.1021313475804213,-0.14827738804795607,0.04614604046753476,NaN,44.049878440508856,38.808871422646305,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106836200,17.362278,17.44290769,17.2332705,17.25477111,NaN,NaN,NaN,17.313745547856616,NaN,NaN,NaN,-0.09508918385385812,-0.1373454622133114,0.04225627835945328,NaN,41.294577905344674,39.29093722916495,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106850600,17.22789487,17.26014675,17.19026736,17.22789487,NaN,NaN,NaN,17.305569292822653,NaN,NaN,NaN,-0.09063215524924217,-0.1276441724379317,0.03701201718868952,NaN,40.44324746769855,39.124819941154776,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106922600,17.12038799,17.25477111,17.11501331,17.19026736,NaN,NaN,NaN,17.294588156363353,NaN,NaN,NaN,-0.08910896092654852,-0.11892232624551961,0.029813365318971094,NaN,39.22403593947277,39.26012514060009,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1106937000,17.19026736,17.21176893,17.0773858,17.17414143,NaN,NaN,NaN,17.283117039566843,NaN,NaN,NaN,-0.08818648730134271,-0.11144839714420327,0.023261909842860556,NaN,38.68578056185235,39.42063858864212,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1107181800,17.2816483,17.3246505,17.15801549,17.21714361,NaN,NaN,NaN,17.27683385579857,NaN,NaN,NaN,-0.08302840400750355,-0.1042274015054095,0.02119899749790595,NaN,41.010451865534705,39.81243674299087,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1107196200,17.22251924,17.33002612,17.20639331,17.29777425,NaN,NaN,NaN,17.27882817905585,NaN,NaN,NaN,-0.07160890417321397,-0.09661983594029128,0.025010931767077305,NaN,45.205452341808694,40.371079315326845,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1107268200,17.26552237,17.30314893,17.17414143,17.26014675,NaN,NaN,NaN,17.277048995336244,NaN,NaN,NaN,-0.06484757063725155,-0.0892248979385444,0.024377327301292856,NaN,43.64558659806807,40.659969702484474,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1107282600,17.26014675,17.362278,17.22789487,17.34077643,NaN,NaN,NaN,17.28311827482803,NaN,NaN,NaN,-0.05237922862887956,-0.08189024915091794,0.029511020522038384,NaN,47.80205126456954,41.31848907801285,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1107354600,17.30852455,17.42678174,17.26552237,17.26552237,NaN,NaN,NaN,17.28144247436822,NaN,NaN,NaN,-0.04801684319635058,-0.07587752644157675,0.02786068324522617,NaN,44.50288637766339,41.67488403644519,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
